,0,1,2,3,4,5
1343-8832,535.6615384615384,285.6,900.0,953.4625,1220.3033333333333,1493.45
1471-2296,1708.6033333333332,1627.1699999999998,1565.47625,1723.7700000000002,1615.2054545454548,1914.032
2191-0855,1539.7937499999998,1646.2,1676.86125,1735.1133333333335,1607.2150000000001,1842.5874999999999
1471-2180,1548.8838888888888,1641.3541379310343,1638.9740000000004,1551.5883333333334,1649.7383333333337,1858.5044444444445
1746-6148,1659.4094117647057,1548.7961538461536,1510.862,1540.1308333333334,1712.8322727272725,1772.0528
1741-7007,2013.240588235294,2021.9123076923076,2016.016875,2247.6264285714287,2184.597,2327.6342857142854
1752-4571,1540.172,1789.4475,1788.9115384615384,1556.788888888889,1746.071,1971.7519999999997
1561-8633,1107.5822222222223,1434.525,1419.795,1428.0141666666666,1757.0633333333335,1668.760625
0992-7689,578.7476923076924,345.35249999999996,839.7384210526316,1029.5193749999999,1164.771111111111,1123.29
2195-9269,1052.665,1370.88,887.86,,,
1994-0416,1388.8483333333334,1285.0488888888888,1458.1390625,1716.0281818181816,1640.023666666667,1771.8583333333336
1867-1381,1294.348857142857,1527.741891891892,1520.1398214285714,1582.1703921568628,1616.2661818181818,1697.0345762711866
1814-9324,1190.2523076923078,1236.035,1755.1660000000002,1704.0529166666665,1649.0638095238094,1757.2473333333332
1027-5606,1213.7504545454544,1310.8691304347826,1765.2653571428575,1724.193043478261,1758.8795918367348,1812.978648648649
1424-8220,1664.8833333333334,1621.3856666666666,1566.1541414141416,1335.9783050847457,1385.6157754010694,1665.9311347517728
2045-2322,1397.2125174825176,1351.7291789473686,1425.392925925926,1519.4414637789396,1662.5064446831361,1728.8338076923073
1994-0440,1068.6233333333332,1166.5633333333333,891.15,1759.8649999999998,,
1991-962X,1480.57,1476.71,1544.5700000000002,,,
2195-4771,,,,,,
2296-424X,1074.9966666666667,1482.5059999999999,1170.83,1529.2228571428573,1773.94125,1737.3427272727274
2296-6463,1437.3355555555554,1514.545,1709.4349999999997,1545.9834615384618,1584.368275862069,1919.8342424242423
2073-4441,1045.5992307692309,1097.8266666666668,1186.1987234042551,1062.208125,1140.24125,1572.13125
2041-1723,4039.2975373134336,4043.489693251534,3921.2286231884063,4082.890662251656,4111.170935251798,4027.413581081081
0974-9322,,,,,,
0091-6765,,,,,,
2090-4010,527.86,449.36,1036.42,1022.0,1106.0,1118.93
1942-0994,1409.88,1466.48,1823.0858333333333,1768.6425,1969.0909999999997,2170.198
1094-4087,1787.858111111111,2079.5681578947374,2182.4220143884895,2158.2452040816324,2036.6385294117645,1866.2745098039215
1759-6653,1573.1794736842103,1607.7549999999999,1541.2183333333332,1530.186206896552,1664.1194117647058,2111.1
1471-2229,1636.3382608695651,1645.2593749999999,1600.5628571428572,1725.9557142857143,1656.2163636363637,1947.6480000000004
1471-2458,1728.0310666666667,1589.16,1649.2178494623654,1679.3963736263731,1749.4942222222223,1876.1504999999997
1471-2164,1709.1337499999997,1677.0149253731342,1657.4385897435893,1662.9501960784314,1621.2075675675674,1686.8433333333332
2000-8066,1172.521,1285.9575,1435.37,1319.9385714285713,1613.8876470588236,1219.9285714285713
1662-5153,1391.0338636363638,1713.8378571428573,1982.562857142857,1962.54358974359,2117.3954999999996,2042.7554545454543
2160-1836,1671.135,1742.1511111111113,1895.3362499999998,1920.5118181818177,1965.222142857143,1999.53
2090-7419,,,,,,
1314-2488,,,,539.165,675.2266666666667,929.6650000000001
2168-3832,,,,,,
2164-2834,,,,,,
1944-3277,1597.0175,1600.6860000000001,1749.4479999999999,1619.08,,
1687-1812,,,,,841.5,
1471-2105,1658.5720967741934,1586.6741935483867,1609.3673913043474,1652.0596875,1525.45,1633.6447058823528
1747-597X,1395.72,1135.1133333333335,1494.78,,1894.48,
1752-1505,1794.78,1429.03,1627.27,1575.605,1684.9299999999998,
1471-2148,1685.0947222222223,1678.094242424242,1722.5327906976743,1650.671875,1697.0635000000002,1585.29
1471-2121,1745.7933333333333,1525.1433333333334,1714.2866666666666,1433.92,,
1471-2431,1670.2125000000003,1677.0627272727272,1697.025,1669.111875,1744.8009523809524,1850.33
1472-6785,1661.24,1534.8049999999998,1715.8619999999999,1376.3385714285712,1721.67875,1679.3885714285716
2166-532X,2014.4524999999999,2230.1683333333335,2177.346666666667,1940.6022222222225,1999.6355555555556,1951.205
2210-2612,422.56,554.0533333333333,687.595,803.375,872.7666666666668,901.0583333333334
1662-5129,1426.24,1641.4385714285713,1938.335,2042.9330000000002,2062.116666666667,1882.6233333333332
1687-9120,,832.83,,,,
2314-6133,1505.7346666666667,1833.0018181818182,1817.592105263158,1904.318055555556,1981.7200000000005,1712.7442857142855
2218-1989,589.76,716.4116666666667,784.7049999999999,666.6,1060.8915384615384,1432.4458333333334
2152-7806,179.9,437.53,380.0,,,
2041-4889,2512.96,2469.736,2724.402,2778.457307692307,3021.4706666666666,3293.7985714285714
0305-1048,1950.1016528925618,1974.6753982300886,1902.425379746836,1798.6059782608695,2015.8916666666667,2576.6687500000003
1662-4025,1515.25,1366.62,1542.8999999999999,1183.1642857142856,1875.3700000000001,
1745-6215,1826.614716981132,1762.2009374999998,1692.5430645161289,1724.8193333333336,1752.5412244897957,1721.7741176470586
2041-1480,1600.94375,1712.368,1502.912,1655.3400000000001,1661.24,2015.0
1754-9493,1423.76,1504.16,1661.24,1500.26,1741.7633333333333,
1471-2482,1580.4175000000002,1683.0475000000001,1661.2400000000002,1660.8533333333332,1768.2649999999999,1893.12
1742-4682,,,,,,
1471-2156,1790.6433333333332,1656.3560000000002,1689.4036363636362,1566.87,1647.5466666666669,1710.355
1746-160X,1759.195714285714,1634.165,1752.2766666666666,1653.5639999999999,1719.55,1735.36
1472-6750,1616.8425,1823.915,1690.22,1712.1466666666665,1810.5783333333331,1686.12
1752-0509,1675.5783333333336,1573.4346153846154,1569.6119999999999,1801.6316666666664,1642.05,
1471-2318,1650.3809090909092,1766.167,1630.4354545454546,1648.9984375,1813.9212,1857.6638888888888
1478-811X,1993.6080000000002,1947.5514285714287,1806.4333333333334,1579.2733333333333,2099.5714285714284,2682.0
0949-2321,1871.7784615384621,1899.2400000000002,1899.24,1884.025714285715,1889.351111111111,1847.62
2157-7005,,,1054.3600000000001,1453.89,,
2051-817X,1354.9950000000001,1280.2923529411764,1372.6623529411763,1180.1961904761902,1365.2576923076922,1016.6425
2296-7745,1519.792,1541.6569230769232,1632.4723999999999,1401.0946875,1597.134385964912,1862.692619047619
1664-302X,1333.883505154639,1807.9426041666666,1987.975965909091,2113.0739712918657,2275.3144607843137,2161.5630188679243
1662-5188,1604.7178571428572,1774.3693749999998,2133.7485714285717,1946.4877777777776,2215.166666666666,2239.4474999999998
1662-6443,1440.0,,,,,
1662-5102,1266.844418604651,1669.9426666666666,1961.8615625,2100.082363636364,2219.5897058823525,2256.9869230769227
1664-2295,1195.246875,1365.9785,1607.280338983051,1849.1740594059409,1968.073490566038,2093.8825
1662-5099,1442.1633333333334,1278.9614285714285,1871.5626666666665,2072.1142553191485,2192.834545454545,2261.684
1664-8021,1091.6326666666669,1415.5400000000002,1475.054375,1487.0156666666667,1880.880512820513,2224.7534999999993
1662-5137,1128.8775,1181.9766666666667,1721.7027777777778,1606.5666666666666,1728.301666666667,1933.8850000000002
1663-9812,1084.7853846153846,1478.5491666666667,2085.5372413793098,2057.5015999999996,2087.338823529412,2137.683142857143
1664-3224,1215.9715217391306,1640.219111111111,1952.2862499999999,2113.3733015873017,2147.3000000000006,2123.3712676056334
1662-5110,1649.7383333333335,1551.813846153846,1937.7385714285715,2148.2966666666666,2159.596666666667,2278.11
1662-5196,1649.3580000000002,1819.012,2066.5392307692305,2046.9660000000003,2325.934,2512.8033333333333
1662-453X,1280.6104545454546,1622.6074509803918,1989.9925714285716,2043.8625925925926,2169.6061538461536,2109.946440677966
1663-3563,,1475.385,1654.725,1510.3033333333333,1908.05,1609.6466666666665
1757-4676,2806.3218181818183,2899.844,3029.568666666667,2965.8975000000005,3392.256,3587.6733333333336
1664-0640,1336.66,1607.323846153846,1530.168064516129,1794.8331034482758,1979.506746987952,2007.0396938775511
1662-5145,1198.7749999999999,1638.7099999999998,1627.03,1618.444,1451.72,
1553-7390,2121.2753846153846,2134.5581967213116,2100.8454117647057,2109.0789583333335,2254.2653333333333,2322.2473333333332
1553-734X,2053.6433707865167,2143.367236842105,2207.368023255814,2168.6031034482758,2199.1245000000004,2238.9516666666664
1544-9173,2804.6431578947368,2719.941304347826,2745.742916666666,2768.7595652173914,2836.8273333333336,2736.782727272727
2045-7758,1470.3063333333334,1412.777356321839,1421.1477981651378,1376.5387179487177,1387.7781395348836,1573.3925454545456
2162-3279,1713.26,1756.9119999999998,1550.3192857142858,1730.4207142857142,1690.1413333333335,1753.48125
2045-8827,1509.3333333333333,1572.0955555555556,1601.2355555555557,1790.1609090909092,1600.1275,1882.9599999999998
2191-1363,,1967.0083333333334,1456.8715384615389,1680.7953846153848,1686.0440909090905,1441.2
2296-634X,1906.585,1242.306111111111,1086.310909090909,1373.8872222222224,1703.6275,1943.0765454545453
1663-4365,1496.088181818182,1878.2389999999998,1877.2953333333337,2082.5562068965514,2195.3404347826086,2450.473333333334
2327-5219,,,291.83000000000004,,,284.08
1556-276X,1297.8166666666666,1363.0733333333333,1117.4518181818182,1127.8925,1521.925,
1471-2350,1622.5,1728.4940000000001,1790.4983333333332,1571.8,1661.24,2080.1800000000003
1471-2369,1662.3549999999998,1660.8400000000001,1659.857857142857,1658.9466666666667,1670.07125,1805.5149999999999
1471-2466,1700.0064285714284,1750.6476923076925,1627.4785714285715,1596.8737499999997,1631.118,1894.48
1471-2474,1620.8126086956522,1638.6807936507935,1606.8748936170216,1670.4591836734694,1775.625294117647,1836.878888888889
1472-6920,1695.051739130435,1708.6725,1609.9690476190478,1621.2515384615385,1676.5051999999998,1744.4484615384613
1472-6939,1764.3470000000002,1894.8244444444447,1843.252222222222,1736.565,1481.29,1106.8442857142857
1472-6963,1674.0439393939396,1677.189189189189,1674.7881999999997,1666.6730188679244,1779.936,1886.8677777777775
1475-2875,1745.595454545455,1786.5372413793104,1806.7147368421054,1755.8477083333335,1864.097777777778,1771.0
1476-511X,1705.975,1517.47,1680.215,1844.02,1676.94,1439.9900000000002
1479-5876,1645.42625,1709.3564285714288,1699.6511111111113,1514.1833333333334,2161.621666666667,2420.855555555556
1097-6647,1534.7077777777777,1638.33,1790.3383333333334,1894.764,1899.6714285714281,1240.575
1742-7622,2347.62,1623.0833333333333,1578.54,1513.7333333333333,,
1749-799X,1830.6871428571428,1899.22,1847.7685714285712,1895.5275000000001,1879.0880000000002,1876.0036363636361
1754-1611,1566.04,1709.8466666666666,1652.56,1660.1000000000001,1749.3100000000002,
1757-2215,1351.9099999999999,1498.87,1483.25,,1867.176666666667,1893.12
1757-7241,1569.7700000000002,1709.7376923076927,1696.6933333333336,1810.9859999999996,1848.8590909090906,1955.165
1759-2208,,,,,,
2047-1440,,1961.68,,,,
2050-2974,1536.9879999999998,1537.5666666666666,1803.6833333333334,1616.27,1661.24,1095.04
2162-3619,,1649.7925,,,,
2190-8567,947.5,,1088.855,1248.72,,1390.0
1465-6906,2166.170606060606,2303.9376470588236,2308.57,2335.273888888889,2161.8466666666664,3140.5416666666665
0999-193X,1381.2350000000001,1399.779,1465.659411764706,1493.7044444444446,1486.285,1558.7866666666666
1471-2261,1395.5649999999998,1617.2735714285716,1721.5799999999997,1730.5077777777778,1786.244,1843.0879999999997
1471-2288,1780.9022727272727,1689.9973684210527,1710.08,1626.3576190476194,1735.209,1918.4033333333334
