,0,1,2,3,4,5
1748-7188,1355.4783333333332,1384.08,1608.537142857143,1661.24,,
1749-8090,1687.706666666667,1763.0266666666669,1660.4057142857143,1740.25,1615.542,
1751-0147,1787.9260000000002,1619.449411764706,1678.4363636363635,1671.0738095238096,1781.4700000000003,
1752-1947,830.7627272727273,874.0577777777778,875.6550000000001,1001.03,1062.67,
1866-1955,2172.11,,,,,
2194-3206,,,,,,
1424-2818,844.5099999999999,670.0,726.12,1384.0,776.79,
1420-3049,1677.3705714285716,1497.364782608696,1603.7978723404256,1356.019076923077,1388.9694897959184,1614.695
2071-1050,1050.970869565217,1031.8969444444447,1143.0394285714287,1083.2077011494255,1177.2147150259068,1011.21
1942-0889,763.77,1683.54,791.265,2029.77,,
2155-6105,1116.99,,,,,
2155-9880,,,1415.0,,,
2156-8456,1090.02,,,,,
1726-4189,1284.842894736842,1465.7113157894737,1545.817205882353,1776.101730769231,1778.8414705882353,
1810-6285,1215.767857142857,1211.8225,1305.0,1544.395,,
1814-9359,1284.0420000000001,1099.73,900.0,,,
1913-9071,,325.395,,,275.94,
2141-243X,,,,,,
1949-2553,2483.9534177215182,2588.0820388349516,2909.3854716981136,3086.617692307693,3541.636,
2045-7634,1779.782,1777.3587499999999,1446.8133333333335,1742.61,1644.5775,1581.51
2090-5904,1379.4399999999998,1480.8011764705882,1903.6466666666668,1870.8133333333335,1988.385,
0962-9351,1671.8512500000002,1821.5172727272727,1895.1945454545455,2050.818,1720.122857142857,2238.07
1421-9778,,,,,,
1476-072X,1663.4833333333336,1673.1766666666665,1741.872857142857,1863.58,,
1477-7827,1554.44,1821.6225,1661.24,1725.1,,
1756-9966,1476.49,1638.5466666666664,1775.7849999999999,1785.0,1660.05,
1757-1146,1608.29,,,2121.45,1661.24,
1179-7258,1012.32,1796.5016666666663,1651.2616666666665,1519.9466666666667,1633.8000000000002,
1177-8881,1647.71,981.6,1972.672,1894.2066666666667,1901.62,
0001-5555,1413.125,757.4,1339.5466666666669,1212.7083333333333,1534.25,
1990-2573,440.0,560.0,1424.085,,1436.3366666666668,
1660-4601,1444.546875,1478.81125,1482.243269230769,1265.5821348314607,1348.2531192660547,1641.122
1654-9880,1417.09,,,,,
2161-105X,,,,,,
1680-7324,1418.0020754716984,1687.6914666666664,1694.7543971631205,1680.8561718750002,1512.1209411764705,
1812-0822,931.85,,,,,
2046-1682,,1396.0,,1396.0,,
1471-2172,1661.6,1678.604,1682.1799999999998,1546.1899999999998,1661.24,
1687-8434,,1694.93,1423.3366666666668,1766.15,,
1687-7101,694.76,,,,,
2190-4715,918.2066666666666,,,,,
2328-501X,,,,,,
2152-2197,1085.76,,,,,
2220-9964,154.43,705.1907692307693,786.5881818181817,652.2858823529414,629.8988235294117,830.94
0276-4741,536.16,475.06,,854.24,928.0779999999999,
1949-4998,1180.402,939.35,1196.7833333333333,,,
1996-1944,1314.1157142857141,1313.0896153846154,1352.2984000000004,1220.3377777777778,1262.6875630252102,1521.2216666666666
2073-445X,,259.935,305.76,457.3725,626.3705,
2056-3485,1987.58,2010.2,1461.5566666666666,1847.1375,1712.1525,
